parcel1,parcel2,parcel_num,parcel_add
241B7 B007,,241B7 B007,1305 CEDAR SHOALS DR
234A1 C002B,,234A1 C002B,131 AIRPORT RD
171A7 A004,,171A7 A004,131 E BROAD ST
171A7 A006,,171A7 A006,131 E BROAD ST
171A7 B004,,171A7 B004,131 E BROAD ST
171A7 B009,,171A7 B009,131 E BROAD ST
171A7 D004,,171A7 D004,131 E BROAD ST
171A7 D005,,171A7 D005,131 E BROAD ST
171A7 H005,,171A7 H005,131 E BROAD ST
114D4 D016,,114D4 D016,131 GRADY AVE
122B3 D024,,122B3 D024,1326 W HANCOCK AVE
114D3 B010,,114D3 B010,133 LENOIR AVE
124D5 A004,,124D5 A004,133 WEST LAKE CT
163D4 H006,,163D4 H006,134 CHICOPEE BLVD
132C3 D002,,132C3 D002,135 BETSY LN
073B2 A013,,073B2 A013,135 BISCAYNE DR
163C3 D016A,,163C3 D016A,135 BOULEVARD
112A3 D002,,112A3 D002,135 CHAMPIONSHIP DR
172A3 A020,,172A3 A020,135 N PETER ST
173A4 C002,,173A4 C002,135 NORTHVIEW DR
114D3 F004,,114D3 F004,135 PARK AVE
172A3 E004,,172A3 E004,135 S POPLAR ST
233A2 B006,,233A2 B006,135 SHADYBROOK DR
224C1 D003,,224C1 D003,1350 SPRING VALLEY RD
123B2 C019,,123B2 C019,136 BEACHAM DR
172A1 B008B,,172A1 B008B,136 HERMAN ST
172A1 B008F,,172A1 B008F,136 HERMAN ST
132    083,,132 083,137 EAGLEWOOD WAY
172A3 A021,,172A3 A021,137 N PETER ST
114C2 D003B,,114C2 D003B,1377 BOULEVARD
132    082,,132 082,139 EAGLEWOOD WAY
173C2 G018,,173C2 G018,139 RIVERDALE DR
132D4 A011,,132D4 A011,139 SLEEPY CREEK DR
242B1 D020,,242B1 D020,140 AMBOY CT
071D4 D009,,071D4 D009,140 CHEROKEE RDG
124C2 D012,,124C2 D012,140 CHESTNUT LN
123D6 A002,,123D6 A002,140 CYPRESS MANOR LN
124D4 A004,,124D4 A004,140 HOPE AVE
124D4 C004,,124D4 C004,140 OLD PRINCETON RD
184B8 C031,,184B8 C031,140 WAKEFIELD TRCE
054    012,,054 012,140 WALTON CREEK RD
301A1 A005,,301A1 A005,140 WESLEY DR
172C2 B013A,,172C2 B013A,141 DUBLIN ST
172A3 G011,,172A3 G011,1424 E BROAD ST
114D1 D008,,114D1 D008,143 BRYAN ST
132D4 A014,,132D4 A014,143 SLEEPY CREEK DR
172A3 G010,,172A3 G010,1438 E BROAD ST
173C2 G008,,173C2 G008,144 HARDIN DR
291    006,,291 006,1445 CHEROKEE RD
163D4 A007,,163D4 A007,145 GRIFFETH ST
172A3 F008C,,172A3 F008C,145 HARPER ST
184C   021,,184C 021,145 JADE DR
124B1 B013,,124B1 B013,145 MEADOWVIEW RD
132B2 A004,,132B2 A004,145 OAKDALE RD
184B9 A009,,184B9 A009,145 ONYX PL
132B2 B002,,132B2 B002,145 TERRELL DR
032A1 A005,,032A1 A005,145 THREE OAKS DR
132C2 B009,,132C2 B009,145 TILSON RD
182D1 A004,,182D1 A004,145 WATSON DR
123C2 A027,,123C2 A027,1455 TIMOTHY RD
173A4 D002,,173A4 D002,146 BURNETT ST
244C4 A004,,244C4 A004,147 ELDERBERRY CIR
113B3 B008,,113B3 B008,147 S HOMEWOOD DR
184A   039,,184A 039,147 WHITE CIR
163B5 E001,,163B5 E001,148 BRIDGEWATER CIR
172A3 A010,,172A3 A010,148 N POPLAR ST
182D2 C009,,182D2 C009,149 PINE RIDGE TRCE
223    014K,,223 014K,150 BINION RD
161D4 A016,,161D4 A016,150 FREEMAN CIR
163C3 D030,,163C3 D030,150 GRADY AVE
072A1 A006,,072A1 A006,150 HIGH RIDGE DR
181A3 B024,,181A3 B024,150 JANE CIR
132B1 E003,,132B1 E003,150 LULLWATER RD
243A1 G014,,243A1 G014,150 MCKEY CT
064    005N,,064 005N,150 OLD FORT RD
124A3 D001,,124A3 D001,150 PINE VALLEY PL
072C4 A039,,072C4 A039,150 RIVERBOTTOM PL
124B3 B013,,124B3 B013,150 ROCK GLEN RD
242B1 A024,,242B1 A024,150 SANDSTONE DR
241C2 C004,,241C2 C004,150 TARA PL
072E1 B008,,072E1 B008,150 THE PRESERVE DR
173C1 E004,,173C1 E004,150 UNIVERSITY DR
132B2 B019,,132B2 B019,150 WITHERSPOON RD
173A3 H021,,173A3 H021,151 UNIVERSITY DR
071A1 A018,,071A1 A018,152 CHESTERFIELD RD
173C1 F003,,173C1 F003,153 MILLEDGE TER
123D2 B003A,,123D2 B003A,155 HARBEN PL
173C2 F023,,173C2 F023,155 HARDIN DR
173A3 B012A,,173A3 B012A,155 MORTON AVE
103A1 K005,,103A1 K005,156 BROCKETT DR
242B1 A023,,242B1 A023,156 SANDSTONE DR
121B2 A005,,121B2 A005,157 GILMER ST
163C1 E013,,163C1 E013,157 SAVANNAH AVE
074   C001,,074 C001,1595 TIMOTHY RD
163D4 I004,,163D4 I004,16 VINE ST
173A3 A003,,173A3 A003,160 E RUTHERFORD ST
184A4 C009,,184A4 C009,160 FLANNIGANS PL
113D3 D008,,113D3 D008,160 GLENCREST DR
074D  C006M,,074D C006M,160 JONES DR
124A2 C010,,124A2 C010,160 MEADOWVIEW RD
172A4 E020,,172A4 E020,160 N PETER ST
173C2 H005,,173C2 H005,160 RIVERDALE DR
113A2 E018,,113A2 E018,160 SHARON CIR
123D1 B007,,123D1 B007,160 ST GEORGE PL
242C3 F010,,242C3 F010,160 WHISPERWOOD LN
182B   032D,,182B 032D,161 DENNIS DR
153A  B005,,153A B005,161 KIM CHASE RD
161A3 A009,,161A3 A009,161 LOBLOLLY DR
172A4 D018,,172A4 D018,1623 E BROAD ST
